#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5300,1301.0192997234822,709.0980101480301,297.6784908782353
5400,1282.5110905300348,711.9275749892893,298.8663387916886
5500,1281.5005154342275,707.1034309436205,296.8411689297761
5600,1276.4977449224489,669.989342007566,281.26071908124396
5700,1245.0793803784995,762.7389549876494,320.19689493609917
5800,1244.9183054466257,711.8011143336847,298.8132507607293
5900,1261.1052793276958,713.5323399455386,299.5400171881219
6000,1322.4796018269649,721.0162488613554,302.6817531400609
6100,1269.004309752836,737.9415320309087,309.7869666359324
6200,1277.2455345537683,723.4744084176901,303.7136855620894
6300,1245.8689889712127,634.9030687304216,266.5315438047524
6400,1337.6992963530843,715.0699820678656,300.1855174996931
6500,1328.0871063703926,750.0379429757901,314.8650253860389
6600,1295.7267198966638,696.8440445714696,292.534290883452
6700,1251.854657492282,713.8365219979751,299.66771244748753
6800,1244.606340818675,748.0276345234953,314.02110031825595
6900,1311.310450057752,719.3530476375349,301.9835432688608
7000,1314.1611192903365,747.6401897608706,313.8584514734049
7100,1367.229404744523,713.3299048362977,299.4550351730024
7200,1313.2717658283018,725.4227017274054,304.5315767476861
7300,1291.7206012467464,738.4354238362813,309.99430182116265
7400,1271.5786075609549,689.6753200984009,289.5248689810841
7500,1170.2985434282891,704.6296233511263,295.8026674810087
7600,1282.051583518789,697.2236755801371,292.69365952379997
7700,1309.522891506766,704.0078113271567,295.5416315420324
7800,1329.969261198436,756.065403189156,317.3953459263106
7900,1283.57730463608,774.0946656302693,324.96400859114857
8000,1350.152998066831,673.2805757699653,282.6423750519242
8100,1300.3398547985507,694.5497842277316,291.57116315353056
8200,1281.6118516921529,704.5908075692989,295.78637266253327
8300,1332.1281972623306,718.31084730853,301.54602882559476
8400,1279.4356832432513,725.802320615377,304.69094029978044
8500,1287.1378124237622,617.0472407914385,259.03568873508675
8600,1311.0805261226833,727.2156980459526,305.2842744433741
8700,1266.9579955274057,756.3534441809926,317.5162651878709
8800,1290.8590010777107,776.8607456211531,326.1252056408524
8900,1212.1390292657534,720.7441289170478,302.5675175150837
9000,1267.9952075396568,696.0490499223641,292.20055308696243
9100,1267.9820049906739,710.671927105782,298.3392193220417
9200,1294.341965526321,731.9947952830845,307.29053370930086
9300,1348.2723417662964,664.5134309208221,278.96193820024126
9400,1250.8023954272217,784.9129691340688,329.50551937638045
9500,1277.5285534549112,726.522548822854,304.9932912340962
9600,1282.0289265933352,690.6335020075799,289.92711259286875
9700,1344.9292035940798,714.5512192907973,299.96774151049067
9800,1350.5843320006052,688.9043960213861,289.2012359817763
9900,1229.9103322976002,810.2607785381554,340.146499244456
10000,1350.2430612672906,704.6216280220734,295.799311051499
10100,1339.3642905917786,650.9410891298118,273.2642854580087
10200,1317.368011067354,715.8159145506531,300.49865905783525
10300,1328.7318701086479,743.572140207573,312.1506891690223
10400,1311.2381162515662,679.6653224450436,285.3226840186358
10500,1362.891588848966,693.6003665851365,291.17259877030534
10600,1285.6000001319044,723.766516863845,303.83631233607514
10700,1306.787159742867,740.5468301489664,310.8806676490116
10800,1289.416277013217,726.26504937594,304.8851932763211
10900,1232.323125500241,633.3923217824242,265.8973340549819
11000,1260.801723352707,663.2133506593352,278.41616607181686
11100,1217.0086266547696,727.326528594142,305.3308009740596
11200,1277.7771330090454,694.6178427920539,291.5997340568879
11300,1247.8480987714852,691.4226127401025,290.2583803282614
11400,1297.8654674904224,685.0898238545539,287.5998831790351
