#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
3700,2172.8369121767078,1496.3602190145548,714.1697124330549
3800,2186.4607880444178,1462.4608668719243,697.9905262560039
3900,2136.5817647846043,1311.2275110590633,625.8111934598637
4000,2100.497468212992,1476.5319487433449,704.7062490920149
4100,2136.432063644419,1545.6012452516275,737.6710385848542
4200,2193.937696822039,1455.571903375938,694.7026220359022
4300,2130.7769168213094,1559.1027372397052,744.1149125451582
4400,1983.4230523161941,1456.8671469974138,695.3208045783981
4500,2010.739773502839,1441.046793029712,687.7702044621083
4600,2191.653039242938,1363.7516332946363,650.8794469432938
4700,2073.3329192736446,1343.5450550506425,641.235428083134
4800,1850.4570936104392,1559.1426328194343,744.1339535583717
4900,1911.0728576609145,1444.362995180219,689.3529324082957
5000,2022.7204901407913,1495.9856667837362,713.9909494215983
5100,2075.701064350553,1452.9489917351152,693.4507817180024
5200,2089.909750233309,1555.8564693679339,742.5655622196126
5300,2381.535648585199,1396.8285191449793,666.6660936048024
5400,2140.5331208805183,1441.3912389226286,687.9345985840364
5500,2008.9362225042369,1482.3235762566953,707.470426395828
5600,1974.6442967796083,1323.0159931883154,631.4374970632932
5700,2053.8115437726674,1335.460794710919,637.3770430440982
5800,2018.9582765065315,1351.0378630844775,644.811529940723
5900,1913.9494428505586,1430.2164791365701,682.6012070105998
6000,2042.5930743161562,1345.369465951057,642.1061669543978
6100,1985.4937950853382,1378.3891057116157,657.8654917030678
6200,1979.141481947052,1634.4941744202192,780.097078020381
6300,2001.5807307041568,1456.3890938465086,695.092643553418
6400,2138.3601127159454,1383.8990197897738,660.4952152834771
6500,2165.5510751239417,1361.4097537297314,649.761735155605
6600,2034.8983170380407,1563.323248092647,746.1292410362958
6700,2049.1237968850596,1387.6255678615996,662.2737895405344
6800,2128.548149615632,1484.0854028258875,708.3112955650884
6900,1966.393033666026,1663.4983370908528,793.9399309983152
7000,2104.71135764005,1578.738753804575,753.4866187194235
7100,1970.262996156579,1362.1148917397916,650.0982772552086
7200,2059.306638631681,1607.8545559485972,767.3827540083902
7300,1972.8780964291273,1574.5855632777404,751.5044202844888
7400,2005.764022028754,1229.8929292455084,586.992535915691
7500,1915.3203784452548,1437.4832733901687,686.0694389887398
7600,1833.5456293794177,1436.3295895099893,685.518818840946
7700,2136.4419942807326,1407.5586283556777,671.7872662422483
7800,2178.1709270578813,1637.6482148846558,781.6024108559279
7900,2087.418176128377,1617.6070411827375,772.0373348283483
8000,1936.405188812394,1569.448981758667,749.052877601283
8100,2131.7872304147068,1545.2148611854107,737.4866285785253
8200,2246.841421701844,1483.6225040659886,708.0903672952494
8300,2165.9214926237028,1479.5942296052303,706.1677877073372
8400,2125.49421849828,1517.9116072904235,724.4555704583681
8500,2025.0135345386616,1502.426522098961,717.0649844900569
8600,2146.487226003183,1457.3421789128763,695.5475236545612
8700,2164.598729508536,1534.8588673407094,732.5440104495166
8800,2113.1358524713187,1580.5405676972644,754.3465726885602
8900,2223.1460721545845,1456.397495422003,695.0966533838576
9000,2096.7571808997504,1403.8337720909244,670.0094994360676
9100,2100.0322249040682,1477.6327635026705,705.2316363284034
9200,2094.2759233684446,1491.835893130151,712.010381762031
9300,2014.0927163776246,1482.5599722706163,707.5832514169273
9400,2168.3722151937964,1524.2808042619076,727.4954050595245
9500,2115.8208441300117,1500.5763942296364,716.1819716488909
9600,1984.929115673779,1316.510251842749,628.3324937580152
9700,1862.8127831639413,1412.1476837650546,673.9774904545789
9800,2089.4632871202275,1415.328799359125,675.4957454710947
9900,1980.0622742734486,1427.4544923207548,681.2829901100638
10000,2057.4377593374443,1438.0715951995403,686.3502280742006
10100,1953.125315085208,1449.220367610566,691.6712166206664
10200,1947.5213180294586,1648.6835887608447,786.869277541905
10300,2038.0560858032532,1530.6207772397213,730.5212918886867
10400,2010.096150616213,1498.9259387828984,715.394256714477
10500,2022.2518600645608,1580.5188421820847,754.3362037247698
10600,2083.6584641327527,1415.0832631879289,675.3785581157061
10700,2086.2071296535946,1525.1050655460508,727.8888012730739
10800,2041.4852772964468,1755.605112412506,837.8998468051662
10900,1924.298085817789,1561.718746243843,745.3634584330177
11000,2026.5562852157627,1325.3732542666744,632.5625500051376
11100,2060.0253388966353,1403.1679092922097,669.6917022656836
