#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
185,3121.2078149820013,2197.034586490581,1048.5814437600952
190,3218.680402909415,2031.7641776940827,969.7026291377582
195,2968.8783315656733,2222.817033522167,1060.8866644872903
200,2851.993529489017,2236.30935568307,1067.3261619527148
205,3036.375534468445,2032.142090364557,969.8829959904502
210,2864.1205617334936,2150.327475738586,1026.2894826196832
215,2982.309889393127,2005.1275371707077,956.9897264148501
220,2950.792707218229,2081.689827898026,993.5307066261217
225,2942.713353734784,1949.277510219619,930.334114229901
230,2834.83375759346,1971.6684654399603,941.0206734204038
235,2997.979263334683,1743.212370500432,831.9851473797621
240,2883.291189907805,1830.871669966947,873.8224108251325
245,2810.077210274478,1861.1227433031547,888.260378415275
250,2693.725112715908,1981.702096124737,945.8094368810666
255,2843.239392987887,1863.7878392116618,889.5323520713499
260,2930.440041923044,1849.696602265221,882.8070097974868
265,2795.3056006577513,1895.0963532368949,904.4750057011238
270,2741.0863647971664,1857.2925338816444,886.4323295762597
275,2861.740992553218,1686.636658943112,804.9831867955684
280,2611.753564896399,1893.6701601198397,903.7943247291637
285,2685.975182762797,1823.4020747740208,870.2573877891442
290,2748.494590635913,1723.1803646003307,822.424446880417
295,2593.5361527915275,1783.9642167258207,851.4348319744705
300,2583.440746313741,1822.1526113474363,869.6610548174971
305,2584.968200915566,1860.7109304343603,888.0638319725497
310,2672.0074667813396,1639.8072655269998,782.6328636551788
315,2484.9252601187286,1836.5031952218635,876.5101759239079
320,2695.487783764839,1654.6068411189726,789.6962755999385
325,2592.063023660461,1714.0261919541529,818.0554234573078
330,2557.285025528529,1756.8936297873352,838.5148191035161
335,2453.97020256325,1849.152865560596,882.5474999007075
340,2662.374117806662,1613.778820512409,770.2102351630958
345,2512.289927141517,1700.8739660661095,811.7782441652091
350,2557.493457406051,1698.4188133615078,810.6064703645267
355,2499.1630873269555,1704.5381180144325,813.5270385463964
360,2516.583999013149,1703.825063703565,813.1867182240101
365,2542.5005329034707,1744.6430194904476,832.6679550117807
370,2543.52537250088,1788.1509415780354,853.433035378803
375,2612.955773530615,1654.873506013154,789.8235470873607
380,2566.5250994619632,1760.8602866799756,840.4079903976603
385,2562.5376784992263,1725.4079903925456,823.4876286271774
390,2474.181474756418,1735.0218333294702,828.076039464617
395,2440.553300212782,1815.3013963529127,866.3911668718805
400,2452.031712246473,1779.2072796768414,849.1644826821264
405,2570.1314422281807,1618.5342300025504,772.4798553955237
410,2533.6098384218717,1620.1865769066837,773.2684730681732
415,2429.9938886839964,1625.0543199247425,775.5917068639061
420,2467.4897987155555,1606.91997403274,766.9367049290231
425,2228.323757575555,1819.5206832520926,868.404911205076
430,2463.0121927637397,1524.948268588235,727.8139665929942
435,2353.3870704379724,1596.0936544863996,761.7696138644062
440,2298.1522305641292,1624.3126231128028,775.237716299225
445,2335.800823023058,1625.4928382799487,775.8009990675178
450,2356.3123144243928,1677.2112720770435,800.4847206226682
455,2475.852331557913,1568.9896752275513,748.8336637989662
460,2403.675973981106,1566.0441772040235,747.4278622749052
465,2399.558128015294,1540.1740271751257,735.0807834285393
470,2277.5761374457543,1571.1195157904745,749.8501754670943
475,2235.8011727043586,1623.4439664319864,774.8231314392035
480,2435.593258221106,1484.9598334287518,708.728636152104
485,2190.50587221267,1728.9501535093254,825.1782012462273
490,2345.6980331732593,1498.1009199018674,715.0004989217139
495,2151.2594925123867,1797.2765131916626,857.7884083513507
500,2480.974201940246,1432.973077655979,683.9168522321737
505,2227.5861619612374,1694.6065470327067,808.7869852478005
510,2431.1587987021435,1453.5473424963575,693.7363573338604
515,2379.486225459202,1477.2919907171006,705.0689952750107
520,2421.3679968600113,1488.6736641567813,710.5011407865885
525,2311.8950776302077,1590.9358937537925,759.3079629514795
530,2266.729147049667,1568.2720775393777,748.4911750532128
535,2340.9094397638764,1516.8624919906886,723.9548578876917
540,2360.5339789276636,1521.241908705711,726.0450275782838
545,2185.664743199736,1678.6959586423616,801.1933188358074
550,2310.526617167571,1533.5358384789442,731.9125668106515
555,2222.419566741601,1599.5200989165771,763.4049572812336
560,2232.074593716478,1617.555818756843,772.0128878371049
565,2312.9981137293594,1596.2901917859726,761.8634154670783
570,2341.079155515701,1563.8736389348735,746.3919267616471
575,2396.256265536136,1512.37237769238,721.8118554231338
